Record #:  0
Notes :


19/03/201910:26:57Record #:  0
Notes :


19/03/201910:26:57
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.449755E-3	3.358984E-3	-4.230738E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.450279E-3	3.300381E-3	-4.545021E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.451376E-3	3.227377E-3	-4.775620E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.436737E-3	3.170681E-3	-4.926109E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.389864E-3	3.192139E-3	-4.889250E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.402834E-3	3.225040E-3	-4.609299E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.432827E-3	3.277540E-3	-4.248238E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.450089E-3	3.353310E-3	-3.957701E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.503160E-3	3.368378E-3	-3.854418E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.549223E-3	3.338480E-3	-3.973246E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.543549E-3	3.305292E-3	-4.261827E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.536873E-3	3.238773E-3	-4.587650E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.498201E-3	3.192472E-3	-4.829407E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.411989E-3	3.212261E-3	-4.938936E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.429298E-3	3.170776E-3	-4.931736E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.434877E-3	3.204775E-3	-4.648066E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.470020E-3	3.241682E-3	-4.294825E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.493910E-3	3.297138E-3	-4.025030E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
