CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Column1
0.023451691,-0.003158571,-0.011701848,0.400031759,0.399999952,0.399999952,0.399999952,0.399999952,
0.023450097,-0.003158368,-0.011715102,0.400030968,0.399999952,0.399999952,0.399999952,0.399999952,
0.023452078,-0.003143315,-0.011648152,0.400026743,0.399999952,0.399999952,0.399999952,0.399999952,
0.02345829,-0.003119202,-0.011527223,0.400020655,0.399999952,0.399999952,0.399999952,0.399999952,
0.023469048,-0.003095737,-0.011398482,0.400014003,0.399999952,0.399999952,0.399999952,0.399999952,
0.023483384,-0.003082622,-0.011310965,0.400007753,0.399999952,0.399999952,0.399999952,0.399999952,
0.023498739,-0.003085525,-0.011299063,0.400002521,0.399999952,0.399999952,0.399999952,0.399999952,
0.023511977,-0.003104044,-0.011369045,0.399998611,0.399999952,0.399999952,0.399999952,0.399999952,
0.023520613,-0.003132026,-0.011495084,0.399996075,0.399999952,0.399999952,0.399999952,0.399999952,
0.023523526,-0.003159905,-0.011628835,0.399994788,0.399999952,0.399999952,0.399999952,0.399999952,
0.023521195,-0.003178275,-0.011718851,0.399994513,0.399999952,0.399999952,0.399999952,0.399999952,
0.023515349,-0.00318123,-0.011730913,0.399994969,0.399999952,0.399999952,0.399999952,0.399999952,
0.023508237,-0.003168383,-0.011660917,0.399995875,0.399999952,0.399999952,0.399999952,0.399999952,
0.023501701,-0.003144635,-0.01153542,0.399996982,0.399999952,0.399999952,0.399999952,0.399999952,
0.023496604,-0.003118132,-0.011401137,0.399998098,0.399999952,0.399999952,0.399999952,0.399999952,
0.023493279,-0.003097924,-0.011308748,0.399999086,0.399999952,0.399999952,0.399999952,0.399999952,
0.023491861,-0.003091069,-0.011294827,0.39999987,0.399999952,0.399999952,0.399999952,0.399999952,
0.023491876,-0.003099496,-0.011366273,0.40000042,0.399999952,0.399999952,0.399999952,0.399999952,
0.02349252,-0.003119337,-0.011495894,0.400000744,0.399999952,0.399999952,0.399999952,0.399999952,
0.023493764,-0.003143413,-0.011633735,0.400000873,0.399999952,0.399999952,0.399999952,0.399999952,
0.023497239,-0.003165194,-0.011727582,0.400000853,0.399999952,0.399999952,0.399999952,0.399999952,
0.023506112,-0.003182256,-0.011742101,0.400000732,0.399999952,0.399999952,0.399999952,0.399999952,
0.023522654,-0.003196346,-0.011670116,0.400000556,0.399999952,0.399999952,0.399999952,0.399999952,
0.023545228,-0.003210503,-0.011533193,0.400000363,0.399999952,0.399999952,0.399999952,0.399999952,
0.023568452,-0.003227167,-0.011371884,0.400000182,0.399999952,0.399999952,0.399999952,0.399999952,
0.023585883,-0.003247731,-0.011230411,0.40000003,0.399999952,0.399999952,0.399999952,0.399999952,
0.023592251,-0.0032715,-0.011141622,0.399999915,0.399999952,0.399999952,0.399999952,0.399999952,
0.023584438,-0.003294353,-0.011115828,0.399999841,0.399999952,0.399999952,0.399999952,0.399999952,
0.023562164,-0.00330922,-0.011137482,0.399999803,0.399999952,0.399999952,0.399999952,0.399999952,
0.023528537,-0.003308772,-0.011172993,0.399999795,0.399999952,0.399999952,0.399999952,0.399999952,
0.023489121,-0.003288027,-0.011186485,0.399999808,0.399999952,0.399999952,0.399999952,0.399999952,
0.023449385,-0.003245291,-0.011155817,0.399999834,0.399999952,0.399999952,0.399999952,0.399999952,
0.023413288,-0.003183035,-0.011083008,0.399999866,0.399999952,0.399999952,0.399999952,0.399999952,
0.023384117,-0.003109215,-0.010994903,0.399999898,0.399999952,0.399999952,0.399999952,0.399999952,
0.023364907,-0.003036304,-0.010933412,0.399999927,0.399999952,0.399999952,0.399999952,0.399999952,
0.023357617,-0.002977621,-0.010940244,0.39999995,0.399999952,0.399999952,0.399999952,0.399999952,
0.023362397,-0.002942987,-0.011040735,0.399999966,0.399999952,0.399999952,0.399999952,0.399999952,
0.023377122,-0.002935061,-0.011230593,0.399999975,0.399999952,0.399999952,0.399999952,0.399999952,
0.023398008,-0.002948642,-0.011473219,0.399999979,0.399999952,0.399999952,0.399999952,0.399999952,
0.023421604,-0.002973942,-0.011712033,0.399999978,0.399999952,0.399999952,0.399999952,0.399999952,
