Year,Portugal,Germany
1951,8431207,70111671
1952,8473628,70421462
1953,8532193,70720721
1954,8597225,71015688
1955,8661418,71313740
1956,8719914,71623569
1957,8770221,71955005
1958,8811959,72318498
1959,8846425,72724260
1960,8875311,73179665
1961,8899331,73686490
1962,8917020,74238494
1963,8924221,74820389
1964,8915539,75410766
1965,8888635,75990737
1966,8839831,76558016
1967,8774391,77106876
1968,8709805,77611000
1969,8669641,78038271
1970,8670352,78366605
1971,8717871,78584779
1972,8806016,78700104
1973,8923928,78732884
1974,9054924,78713928
1975,9185876,78667327
1976,9314301,78604473
1977,9441167,78524727
1978,9560753,78426715
1979,9667021,78305017
1980,9755635,78159527
1981,9824239,77990369
1982,9873144,77812348
1983,9904444,77657451
1984,9921895,77566776
1985,9929014,77570009
1986,9925410,77671877
1987,9912208,77864381
1988,9896416,78146938
1989,9886997,78514790
1990,9890319,78958237
1991,9909574,79483739
1992,9943197,80075940
1993,9986828,80675999
1994,10033600,81206786
1995,10078431,81612900
1996,10119985,81870772
1997,10159662,81993831
1998,10198310,82010184
1999,10237593,81965830
2000,10278542,81895925
2001,10320463,81809438
2002,10362028,81699829
2003,10402836,81569481
2004,10442446,81417791
2005,10480085,81246801
2006,10516559,81055904
2007,10550695,80854515
2008,10577458,80665906
2009,10590260,80519685
2010,10584837,80435307
2011,10558909,80424665
2012,10515016,80477952
2013,10459716,80565861
2014,10402343,80646262
2015,10349803,80688545
