,Q_in,Q_out,T_int,T_ext
,W/m2,W/m2,Deg C,Deg C
,Avg,Avg,Avg,Avg
2014-10-05 16:30:00,10.994,6.84,16.92,14.68
2014-10-05 16:35:00,10.952,6.012,16.92,14.69
2014-10-05 16:40:00,10.882,7.04,16.93,14.66
2014-10-05 16:45:00,10.798,8.88,16.93,14.59
2014-10-05 16:50:00,10.756,10.491,16.94,14.5
2014-10-05 16:55:00,10.924,11.058,16.93,14.43
2014-10-05 17:00:00,10.728,12.025,16.93,14.33
2014-10-05 17:05:00,10.616,12.224,16.94,14.28
2014-10-05 17:10:00,10.616,13.497,16.94,14.2
2014-10-05 17:15:00,10.518,15.046,16.95,14.09
2014-10-05 17:20:00,10.392,16.472,16.96,13.96
2014-10-05 17:25:00,10.35,16.564,16.96,13.89
2014-10-05 17:30:00,10.322,16.917,16.95,13.79
2014-10-05 17:35:00,10.196,16.089,16.96,13.77
2014-10-05 17:40:00,10.098,16.196,16.95,13.7
2014-10-05 17:45:00,10.014,16.396,16.95,13.64
2014-10-05 17:50:00,9.972,17.055,16.96,13.58
2014-10-05 17:55:00,9.958,17.04,16.96,13.5
2014-10-05 18:00:00,9.888,17.423,16.96,13.44
2014-10-05 18:05:00,9.846,17.04,16.95,13.39
2014-10-05 18:10:00,9.776,16.917,16.96,13.38
2014-10-05 18:15:00,9.65,17.577,16.97,13.32
2014-10-05 18:20:00,9.734,16.104,16.98,13.37
2014-10-05 18:25:00,9.776,17.347,16.98,13.28
2014-10-05 18:30:00,9.65,15.153,16.98,13.29
2014-10-05 18:35:00,9.482,14.985,16.98,13.33
2014-10-05 18:40:00,9.538,15.752,16.97,13.24
2014-10-05 18:45:00,9.44,14.923,16.98,13.25
2014-10-05 18:50:00,9.426,14.908,16.99,13.24
2014-10-05 18:55:00,9.356,15.598,16.99,13.19
2014-10-05 19:00:00,9.062,15.997,16.97,13.12
2014-10-05 19:05:00,9.02,15.537,16.98,13.11
2014-10-05 19:10:00,8.978,15.552,16.96,13.07
2014-10-05 19:15:00,9.02,14.969,16.97,13.06
2014-10-05 19:20:00,8.908,14.294,16.98,13.06
2014-10-05 19:25:00,8.922,14.371,16.99,13.07
2014-10-05 19:30:00,8.796,14.678,16.98,13.04
2014-10-05 19:35:00,8.697,15.199,16.98,13
2014-10-05 19:40:00,8.599,15.936,16.97,12.95
2014-10-05 19:45:00,8.585,15.859,16.97,12.91
2014-10-05 19:50:00,8.599,16.273,16.97,12.88
2014-10-05 19:55:00,8.515,16.595,16.98,12.84
2014-10-05 20:00:00,8.459,17.485,16.97,12.77
2014-10-05 20:05:00,8.403,18.957,16.97,12.73
2014-10-05 20:10:00,8.375,20.046,16.96,12.64
2014-10-05 20:15:00,8.333,21.288,16.96,12.57
2014-10-05 20:20:00,8.291,20.537,16.97,12.52
2014-10-05 20:25:00,8.179,20.506,16.98,12.47
2014-10-05 20:30:00,8.151,20.736,16.96,12.42
2014-10-05 20:35:00,8.109,20.859,16.96,12.38
2014-10-05 20:40:00,8.221,20.997,16.97,12.36
2014-10-05 20:45:00,8.109,20.061,16.96,12.31
2014-10-05 20:50:00,7.969,19.724,16.96,12.32
2014-10-05 20:55:00,7.969,19.279,16.96,12.31
2014-10-05 21:00:00,7.997,19.156,16.95,12.29
2014-10-05 21:05:00,7.927,19.172,16.96,12.28
2014-10-05 21:10:00,7.857,19.064,16.95,12.24
2014-10-05 21:15:00,7.871,19.724,16.95,12.2
2014-10-05 21:20:00,7.773,20.629,16.95,12.15
2014-10-05 21:25:00,7.717,21.488,16.96,12.11
2014-10-05 21:30:00,7.717,22.285,16.94,12.03
2014-10-05 21:35:00,7.703,22.807,16.94,11.97
2014-10-05 21:40:00,7.703,23.236,16.94,11.93
2014-10-05 21:45:00,7.549,23.543,16.93,11.85
2014-10-05 21:50:00,7.577,23.42,16.93,11.81
2014-10-05 21:55:00,7.535,23.267,16.93,11.77
2014-10-05 22:00:00,7.465,23.512,16.92,11.72
2014-10-05 22:05:00,7.465,23.62,16.92,11.69
2014-10-05 22:10:00,7.409,23.221,16.91,11.65
2014-10-05 22:15:00,7.423,23.236,16.91,11.62
